"State","District","Date","Year","Month","Avg_etlvl_at15cm","Agency_name"
"Andhra Pradesh","East Godavari","2022-08-18","2022","08","4.4350066151","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-19","2022","08","3.7126134077","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-20","2022","08","4.5510272273","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-21","2022","08","4.0898797315","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-22","2022","08","4.4327000634","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-24","2022","08","2.6644193113","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-23","2022","08","4.4253555056","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-25","2022","08","3.8430926652","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-26","2022","08","3.7593319071","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-27","2022","08","3.4946177759","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-28","2022","08","3.2017108235","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-29","2022","08","3.0185636079","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-30","2022","08","3.9336065552","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-31","2022","08","3.16465324","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-01","2022","08","4.297615961","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-02","2022","08","4.312519854","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-03","2022","08","5.2218515968","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-04","2022","08","4.2585096451","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-05","2022","08","3.7462005857","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-06","2022","08","4.1813434153","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-07","2022","08","3.8326966712","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-08","2022","08","3.9723390626","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-09","2022","08","3.8352564958","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-10","2022","08","4.2538153798","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-11","2022","08","4.2994417191","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-12","2022","08","4.2847507832","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-13","2022","08","4.4067211197","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-14","2022","08","2.8056936257","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-15","2022","08","4.1135796069","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-16","2022","08","4.3181052399","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-17","2022","08","4.501947504","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-18","2022","08","3.9973939323","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-19","2022","08","4.1323965478","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-20","2022","08","3.7598489531","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-21","2022","08","4.0947528618","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-22","2022","08","3.8722656929","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-23","2022","08","4.1301135826","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-08-24","2022","08","3.4053653761","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-25","2022","08","3.4415918634","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-26","2022","08","3.3379702232","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-27","2022","08","3.0244822794","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-28","2022","08","2.8671795714","NRSC VIC MODEL"
